ProductName,ProductCategory,ProductSubCategory,ProductPrice,ProductID
Nathaniel,Electronics,Camera,0.01,1
NonExistentProduct,Electronics,Mobile,847.43,2
Angela,InvalidCategory,Action Figures,386.57,3
Amy,Home & Garden,Decor,364.01,4
Nathaniel,Electronics,Camera,652.35,5
Justin,Electronics,Headphones,66005.0,6
NonExistentProduct,Electronics,Camera,652.35,7
Shannon,Home & Garden,Gardening Tools,68.01,8
NonExistentProduct,Home & Garden,Decor,364.01,9
Martha,Books,Fiction,43310.0,10
Justin,Electronics,Headphones,660.05,11
Elizabeth,InvalidCategory,Shirt,840.19,12
Jamie,Books,Fiction,930.3,13
NonExistentProduct,Books,Fiction,99999.99,14
Robert,Electronics,Mobile,847.43,15
Shawn,Electronics,Headphones,46109.0,16
Anthony,Books,Academic,693.39,17
Pamela,Electronics,Headphones,651.11,18
Elizabeth,Clothing,Shirt,840.19,19
Fred,InvalidCategory,Academic,99999.99,20
NonExistentProduct,Home & Garden,Decor,,21
Wanda,Toys,Educational,268.61,22
Amy,Home & Garden,Decor,99999.99,23
Angela,Toys,Action Figures,386.57,24
NonExistentProduct,Books,Academic,951.53,25
Cynthia,Electronics,Headphones,872.85,26
Shawn,Electronics,Headphones,461.09,27
Marvin,Clothing,Shirt,0.01,28
Katie,Books,Non-fiction,642.11,29
Amy,Home & Garden,Decor,,30
Martha,InvalidCategory,Fiction,433.1,31
NonExistentProduct,Books,Fiction,433.1,32
Pamela,Electronics,Headphones,65111.0,33
Nathaniel,Electronics,Camera,65235.0,34
NonExistentProduct,InvalidCategory,Dolls,46.23,35
Tammy,InvalidCategory,Furniture,99999.99,36
Nathaniel,Electronics,Camera,99999.99,37
Amy,Home & Garden,Decor,0.01,38
Marvin,Clothing,Shirt,995.13,39
Michael,InvalidCategory,Dolls,,40
NonExistentProduct,Clothing,Shirt,995.13,41
Shannon,Home & Garden,Gardening Tools,,42
Tammy,Home & Garden,Furniture,431.82,43
Kristine,Electronics,Headphones,228.82,44
Robert,Electronics,Mobile,84743.0,45
NonExistentProduct,Books,Non-fiction,642.11,46
Shawn,InvalidCategory,Headphones,461.09,47
Jamie,InvalidCategory,Fiction,930.3,48
Michael,Toys,Dolls,,49
Fred,Books,Academic,99999.99,50
Nathaniel,InvalidCategory,Camera,652.35,51
Michael,InvalidCategory,Dolls,46.23,52
Pamela,InvalidCategory,Headphones,651.11,53
Kristine,Electronics,Headphones,22882.0,54
NonExistentProduct,Books,Non-fiction,64211.0,55
Michael,Toys,Dolls,46.23,56
Martha,Books,Fiction,433.1,57
NonExistentProduct,Books,Academic,693.39,58
Marvin,Clothing,Shirt,99513.0,59
Fred,Books,Academic,951.53,60
Fred,InvalidCategory,Academic,951.53,61
Jamie,Books,Fiction,93030.0,62
Shannon,InvalidCategory,Gardening Tools,68.01,63
Cynthia,Electronics,Headphones,,64
Marvin,Clothing,Shirt,99999.99,65
Cynthia,InvalidCategory,Headphones,,66
Tammy,Home & Garden,Furniture,43182.0,67
NonExistentProduct,Electronics,Headphones,660.05,68
Robert,Electronics,Mobile,,69
Jamie,InvalidCategory,Fiction,93030.0,70
NonExistentProduct,Electronics,Headphones,872.85,71
NonExistentProduct,Toys,Dolls,46.23,72
Martha,Books,Fiction,0.01,73
Wanda,InvalidCategory,Educational,99999.99,74
Anthony,InvalidCategory,Academic,693.39,75
Cynthia,Electronics,Headphones,99999.99,76
Justin,Electronics,Headphones,,77
Kristine,Electronics,Headphones,,78
Justin,Electronics,Headphones,0.01,79
Katie,Books,Non-fiction,64211.0,80
NonExistentProduct,Toys,Educational,268.61,81
Amy,InvalidCategory,Decor,364.01,82
Cynthia,Electronics,Headphones,87285.0,83
Shannon,Home & Garden,Gardening Tools,99999.99,84
Anthony,Books,Academic,69339.0,85
NonExistentProduct,Electronics,Headphones,651.11,86
Justin,InvalidCategory,Headphones,660.05,87
Robert,Electronics,Mobile,0.01,88
Angela,Toys,Action Figures,,89
Pamela,Electronics,Headphones,,90
NonExistentProduct,Home & Garden,Furniture,431.82,91
Cynthia,Electronics,Headphones,0.01,92
Katie,Books,Non-fiction,,93
Amy,Home & Garden,Decor,36401.0,94
Justin,InvalidCategory,Headphones,,95
Robert,InvalidCategory,Mobile,84743.0,96
Katie,InvalidCategory,Non-fiction,642.11,97
Anthony,Books,Academic,,98
Elizabeth,Clothing,Shirt,,99
Angela,InvalidCategory,Action Figures,,100
Robert,InvalidCategory,Mobile,847.43,101
Martha,Books,Fiction,,102
Fred,Books,Academic,,103
Fred,InvalidCategory,Academic,,104
Cynthia,InvalidCategory,Headphones,872.85,105
Katie,InvalidCategory,Non-fiction,99999.99,106
Kristine,Electronics,Headphones,0.01,107
Nathaniel,InvalidCategory,Camera,0.01,108
NonExistentProduct,Clothing,Shirt,0.01,109
Anthony,Books,Academic,0.01,110
Jamie,Books,Fiction,0.01,111
Anthony,Books,Academic,99999.99,112
Wanda,Toys,Educational,26861.0,113
NonExistentProduct,Books,Fiction,930.3,114
Pamela,Electronics,Headphones,0.01,115
Katie,Books,Non-fiction,99999.99,116
NonExistentProduct,Electronics,Headphones,0.01,117
Marvin,InvalidCategory,Shirt,995.13,118
NonExistentProduct,Home & Garden,Gardening Tools,68.01,119
Elizabeth,Clothing,Shirt,84019.0,120
Jamie,Books,Fiction,,121
Tammy,InvalidCategory,Furniture,431.82,122
Nathaniel,Electronics,Camera,,123
NonExistentProduct,Electronics,Headphones,,124
Angela,Toys,Action Figures,0.01,125
Angela,Toys,Action Figures,38657.0,126
NonExistentProduct,Electronics,Headphones,99999.99,127
Shannon,Home & Garden,Gardening Tools,0.01,128
NonExistentProduct,Toys,Action Figures,386.57,129
NonExistentProduct,Electronics,Headphones,228.82,130
Shawn,Electronics,Headphones,0.01,131
Wanda,InvalidCategory,Educational,268.61,132
Wanda,Toys,Educational,99999.99,133
Tammy,Home & Garden,Furniture,0.01,134
NonExistentProduct,Electronics,Headphones,461.09,135
Marvin,Clothing,Shirt,,136
Shannon,InvalidCategory,Gardening Tools,,137
Wanda,Toys,Educational,0.01,138
Marvin,InvalidCategory,Shirt,99513.0,139
Wanda,InvalidCategory,Educational,,140
Elizabeth,InvalidCategory,Shirt,0.01,141
NonExistentProduct,InvalidCategory,Non-fiction,642.11,142
Shannon,Home & Garden,Gardening Tools,6801.000000000001,143
Tammy,Home & Garden,Furniture,99999.99,144
Wanda,Toys,Educational,,145
