Date,ProductID,StockReceived,StockSold,StockOnHand
2023-09-14,1,475,127,348
2023-02-11,2,487,243,244
2021-11-12,3,341,188,153
2021-11-15,4,500,124,376
2023-04-22,5,429,351,78
2022-12-08,2,79,61,18
2023-09-13,6,339,296,43
2023-07-19,7,305,53,252
2023-08-20,8,440,338,102
2023-07-15,9,260,254,6
2023-09-25,10,238,161,77
2022-05-06,11,121,13,108
2023-09-19,12,290,147,143
2022-10-19,13,319,94,225
2022-08-30,14,232,3,229
2023-01-25,13,250,130,120
2022-11-02,15,214,113,101
2023-07-29,16,412,41,371
2022-02-09,17,295,93,202
2023-04-25,13,356,147,209
2022-10-06,18,457,133,324
2023-09-20,19,346,269,77
2023-05-17,20,321,104,217
2022-04-19,21,210,10,200
2022-03-11,22,457,181,276
2023-03-15,23,253,65,188
2022-07-20,22,409,46,363
2023-07-03,24,486,26,460
2021-11-12,25,209,47,162
2023-04-05,26,100,40,60
2022-01-12,27,327,170,157
2022-01-22,28,427,169,258
2022-11-22,29,58,38,20
2022-03-25,30,349,161,188
2022-10-04,31,225,192,33
2021-10-27,32,312,194,118
2023-01-28,33,160,157,3
2022-01-13,34,147,69,78
2022-04-10,3,322,259,63
2021-12-10,26,154,35,119
2021-11-20,35,55,26,29
2022-02-16,36,438,22,416
2022-12-07,18,280,134,146
2022-11-09,37,223,168,55
2022-03-08,19,441,107,334
2023-06-10,11,143,42,101
2022-12-04,27,154,151,3
2022-12-13,10,479,105,374
2022-07-17,38,210,18,192
2022-10-31,24,142,20,122
2022-03-28,39,211,51,160
2022-11-05,40,427,49,378
2023-01-19,41,422,187,235
2021-11-18,15,471,357,114
2023-05-03,42,500,355,145
2022-12-11,43,157,35,122
2023-01-13,44,394,346,48
2023-05-16,45,330,100,230
2023-09-12,45,175,163,12
2023-03-29,24,260,158,102
2023-06-04,43,491,140,351
2022-01-28,31,254,116,138
2023-03-21,8,67,52,15
2023-05-08,46,484,395,89
2023-06-11,47,374,177,197
2023-06-01,29,193,102,91
2021-12-22,48,220,73,147
2023-01-14,49,286,222,64
2021-11-17,26,332,223,109
2022-07-21,22,125,6,119
2022-07-05,50,481,72,409
2022-05-13,51,281,111,170
2023-08-09,8,202,38,164
2022-06-30,52,71,11,60
2023-06-20,53,372,189,183
2023-03-10,54,66,35,31
2023-05-12,15,264,200,64
2022-01-05,7,332,301,31
2023-07-02,41,128,40,88
2023-02-16,11,432,346,86
2022-08-27,44,112,82,30
2022-11-09,55,487,104,383
2023-09-09,56,224,211,13
2023-01-30,57,243,235,8
2023-06-26,13,144,44,100
2022-10-17,24,282,191,91
2022-10-07,11,496,214,282
2023-04-22,58,484,281,203
2023-08-04,18,225,138,87
2023-06-19,5,474,5,469
2022-09-15,56,483,102,381
2023-03-01,49,405,114,291
2023-05-14,8,340,34,306
2023-03-29,17,134,43,91
2023-09-25,19,221,159,62
2023-05-12,59,365,122,243
2022-10-12,27,463,121,342
2023-01-18,60,417,272,145
2022-12-30,61,55,40,15
2022-07-22,62,381,78,303
2022-07-02,17,71,37,34
2023-03-22,18,400,90,310
2022-08-22,63,106,24,82
2021-10-18,43,358,162,196
2023-06-11,64,104,92,12
2022-06-23,65,247,43,204
2023-03-28,66,488,459,29
2022-12-21,60,411,304,107
2022-08-28,41,140,114,26
2022-03-01,8,293,126,167
2021-10-31,67,175,99,76
2022-12-31,29,500,380,120
2022-06-02,16,411,274,137
2023-03-26,5,151,115,36
2021-10-10,18,151,61,90
2023-02-17,43,362,212,150
2022-09-07,59,57,18,39
2022-03-18,49,414,305,109
2021-12-08,68,299,27,272
2022-07-19,4,396,272,124
2023-09-16,24,313,95,218
2023-06-12,30,311,28,283
2023-07-09,69,457,445,12
2022-07-09,70,148,98,50
2023-05-21,71,452,293,159
2022-09-12,72,276,107,169
2022-03-24,8,488,106,382
2023-09-26,73,380,137,243
2021-11-09,26,439,352,87
2021-12-15,60,302,29,273
2023-07-15,72,170,1,169
2022-11-14,57,266,29,237
2022-07-28,60,259,8,251
2022-04-18,56,73,31,42
2022-03-02,27,102,9,93
2023-06-23,39,422,159,263
2023-05-05,74,67,52,15
2022-03-24,56,284,240,44
2022-04-09,26,72,57,15
2022-06-14,75,131,57,74
2023-06-19,44,140,90,50
2023-07-19,76,415,83,332
2022-01-14,22,210,159,51
2022-09-29,13,486,358,128
