Date,ProductID,CustomerID,SupplierID,ShipperID,QuantitySold,TotalAmount,DiscountAmount,NetAmount
2023-09-14,1,1,1,1,49,31965.15,121.07,31844.08
2023-02-11,2,2,2,2,73,61862.39,91.09,61771.3
2021-11-12,3,3,3,3,89,34404.73,10.56,34394.17
2021-11-15,4,4,4,4,3,1092.03,69.06,1022.97
2023-04-22,5,5,1,5,75,48926.25,137.17,48789.08
2022-12-08,2,6,4,6,63,53388.09,103.22,53284.87
2023-09-13,6,7,4,1,39,25741.95,104.2,25637.75
2023-07-19,7,8,5,7,60,39141.0,121.19,39019.81
2023-08-20,8,9,6,8,92,6256.92,18.11,6238.81
2023-07-15,9,10,7,2,55,20020.55,53.26,19967.29
2023-09-25,10,11,8,4,23,9961.3,33.11,9928.19
2022-05-06,11,12,9,9,1,660.05,56.28,603.77
2023-09-19,12,13,10,7,93,78137.67,251.64,77886.03
2022-10-19,13,14,11,9,60,55818.0,136.73,55681.27
2022-08-30,14,15,12,1,43,18623.3,37.6,18585.7
2023-01-25,13,16,3,10,11,10233.3,160.82,10072.48
2022-11-02,15,17,11,11,67,56777.81,104.73,56673.08
2023-07-29,16,18,13,4,51,23515.59,92.28,23423.31
2022-02-09,17,19,12,2,6,4160.34,128.46,4031.88
2023-04-25,13,20,11,8,40,37212.0,41.4,37170.6
2022-10-06,18,21,6,12,86,55995.46,127.55,55867.91
2023-09-20,19,22,14,9,68,57132.920000000006,28.23,57104.69
2023-05-17,20,23,15,11,8,7612.24,163.58,7448.66
2022-04-19,21,24,16,1,48,17472.48,106.46,17366.02
2022-03-11,22,25,7,12,74,19877.14,58.58,19818.56
2023-03-15,23,26,11,5,58,21112.58,33.66,21078.92
2022-07-20,22,27,6,13,77,20682.97,26.29,20656.68
2023-07-03,24,28,17,13,67,25900.19,84.23,25815.96
2021-11-12,25,29,7,14,61,58043.33,76.76,57966.57
2023-04-05,26,30,8,15,24,20948.4,136.32,20812.08
2022-01-12,27,31,18,4,28,12910.52,51.68,12858.839999999998
2022-01-22,28,32,5,8,86,85581.18,227.78,85353.4
2022-11-22,29,33,17,11,85,54579.35,23.36,54555.99
2022-03-25,30,34,7,16,13,4732.13,42.55,4689.58
2022-10-04,31,35,9,8,37,16024.7,93.32,15931.38
2021-10-27,32,36,9,7,38,16457.8,8.02,16449.78
2023-01-28,33,37,19,16,44,28648.84,68.57,28580.27
2022-01-13,34,38,5,1,92,60016.2,20.67,59995.530000000006
2022-04-10,3,39,11,1,59,22807.63,92.33,22715.3
2021-12-10,26,40,19,17,73,63718.05,259.12,63458.93
2021-11-20,35,41,16,3,55,2542.65,10.42,2532.23
2022-02-16,36,42,20,6,95,41022.9,89.46,40933.44
2022-12-07,18,43,21,14,61,39717.71,27.58,39690.13
2022-11-09,37,44,8,8,54,35226.9,12.93,35213.97
2022-03-08,19,45,5,1,59,49571.21000000001,155.38,49415.83000000001
2023-06-10,11,46,17,15,67,44223.35,151.1,44072.25
2022-12-04,27,47,12,10,74,34120.66,124.19,33996.469999999994
2022-12-13,10,48,5,6,87,37679.7,89.28,37590.420000000006
2022-07-17,38,49,22,9,51,18564.51,74.9,18489.61
2022-10-31,24,50,8,3,55,21261.35,26.76,21234.59
2022-03-28,39,51,7,11,32,31844.16,227.24,31616.92
2022-11-05,40,52,7,13,83,3837.09,6.69,3830.4
2023-01-19,41,53,19,13,58,57717.54,85.83,57631.71
2021-11-18,15,54,21,12,11,9321.73,213.23,9108.5
2023-05-03,42,55,6,15,17,1156.17,3.52,1152.65
2022-12-11,43,56,7,18,52,22454.64,53.79,22400.85
2023-01-13,44,57,23,7,90,20593.8,16.26,20577.54
2023-05-16,45,58,11,17,74,62709.82,200.44,62509.38
2023-09-12,45,59,21,14,40,33897.2,186.81,33710.39
2023-03-29,24,60,24,12,37,14303.09,80.37,14222.72
2023-06-04,43,61,25,10,13,5613.66,128.94,5484.72
2022-01-28,31,62,10,6,43,18623.3,5.83,18617.47
2023-03-21,8,63,18,10,85,5780.85,16.4,5764.450000000001
2023-05-08,46,64,11,1,57,36600.27,14.5,36585.77
2023-06-11,47,65,6,6,18,8299.619999999999,58.0,8241.619999999999
2023-06-01,29,66,4,1,90,57789.9,23.02,57766.880000000005
2021-12-22,48,67,18,4,13,12093.9,262.29,11831.61
2023-01-14,49,68,18,16,98,4530.54,9.42,4521.12
2021-11-17,26,69,4,2,82,71573.7,217.43,71356.27
2022-07-21,22,70,21,10,5,1343.0500000000002,30.65,1312.4
2022-07-05,50,71,21,13,53,50431.09,112.76,50318.33
2022-05-13,51,72,7,4,21,13699.35,44.13,13655.22
2023-08-09,8,73,11,15,70,4760.700000000001,7.75,4752.950000000001
2022-06-30,52,74,18,12,37,1710.51,9.65,1700.86
2023-06-20,53,75,3,7,92,59902.12,103.64,59798.48
2023-03-10,54,76,22,3,46,10525.72,57.35,10468.37
2023-05-12,15,77,7,18,59,49998.37,17.49,49980.88
2022-01-05,7,78,23,5,68,44359.8,125.45,44234.350000000006
2023-07-02,41,79,26,8,55,54732.15,34.46,54697.69
2023-02-16,11,80,6,7,88,58084.4,6.07,58078.33
2022-08-27,44,81,23,16,83,18992.06,42.58,18949.48
2022-11-09,55,82,27,11,14,8989.54,15.97,8973.570000000002
2023-09-09,56,83,8,1,84,3883.32,9.11,3874.21
2023-01-30,57,84,18,13,17,7362.700000000001,92.69,7270.010000000001
2023-06-26,13,85,23,10,77,71633.09999999999,250.2,71382.9
